Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,gpgga_read
1712110518.2788987,412,1712110518,0,GPS1_Frame,42.30045166666667,-71.14815,62.7,322930.68360840704,4685370.452521518,19,T,1.7,
1712110519.2790737,413,1712110519,0,GPS1_Frame,42.30054,-71.14826833333333,62.9,322921.17673647765,4685380.50750449,19,T,1.7,
1712110520.2791755,414,1712110520,0,GPS1_Frame,42.30063166666667,-71.14838666666667,63.1,322911.67923743336,4685390.932641881,19,T,1.7,
1712110521.2801912,415,1712110521,0,GPS1_Frame,42.300713333333334,-71.14849333333333,63.5,322903.11543774325,4685400.223089136,19,T,1.7,
1712110522.2813313,416,1712110522,0,GPS1_Frame,42.300790000000006,-71.1486,64.1,322894.5376418421,4685408.958336798,19,T,1.7,
1712110523.278989,417,1712110523,0,GPS1_Frame,42.30086166666667,-71.148695,64.7,322886.90755322267,4685417.114100238,19,T,1.7,
1712110524.2805018,418,1712110524,0,GPS1_Frame,42.30094333333333,-71.14880166666667,64.9,322878.34381932614,4685426.404580048,19,T,1.7,
1712110525.2804692,419,1712110525,0,GPS1_Frame,42.30102166666667,-71.14890166666667,65.0,322870.32030562405,4685435.311052295,19,T,1.7,
1712110526.279923,420,1712110526,0,GPS1_Frame,42.30110500000001,-71.149005,65.2,322862.03606266313,4685444.779684793,19,T,1.7,
1712110527.2802656,421,1712110527,0,GPS1_Frame,42.30119666666666,-71.149115,65.0,322853.22567051207,4685455.187558986,19,T,1.7,
1712110528.2799072,422,1712110528,0,GPS1_Frame,42.301275000000004,-71.149205,64.9,322846.0265366355,4685464.073241974,19,T,1.7,
1712110529.279429,423,1712110529,0,GPS1_Frame,42.30135666666667,-71.14930166666666,64.6,322838.2872289863,4685473.34295443,19,T,1.7,
1712110530.279937,424,1712110530,0,GPS1_Frame,42.30144,-71.14940166666666,64.5,322830.277846631,4685482.804687212,19,T,1.7,
1712110531.2795959,425,1712110531,0,GPS1_Frame,42.301521666666666,-71.1495,64.3,322822.4011963415,4685492.077889076,19,T,1.7,
1712110532.2777336,426,1712110532,0,GPS1_Frame,42.30160833333333,-71.14960166666667,64.2,322814.263823559,4685501.913252886,19,T,3.0,
1712110533.2775164,427,1712110533,0,GPS1_Frame,42.301695,-71.1497,64.0,322806.40124358085,4685511.741685263,19,T,3.0,
1712110534.276636,428,1712110534,0,GPS1_Frame,42.301793333333336,-71.149815,63.6,322797.19757173763,4685522.900329815,19,T,3.0,
1712110535.2764776,429,1712110535,0,GPS1_Frame,42.30188166666667,-71.14991333333334,63.3,322789.33971649164,4685532.913853391,19,T,3.0,
1712110536.278831,430,1712110536,0,GPS1_Frame,42.301965,-71.15000833333333,63.2,322781.74262375914,4685542.365232871,19,T,1.7,
1712110537.2790625,431,1712110537,0,GPS1_Frame,42.30204666666667,-71.15009666666667,63.4,322774.69041137176,4685551.617664981,19,T,1.7,
1712110538.2788413,432,1712110538,0,GPS1_Frame,42.302128333333336,-71.150185,63.3,322767.6382181586,4685560.870104872,19,T,1.7,
1712110539.278824,433,1712110539,0,GPS1_Frame,42.30221166666667,-71.15027166666667,63.3,322760.7281045728,4685570.304151103,19,T,1.7,
1712110540.2801623,434,1712110540,0,GPS1_Frame,42.30229333333333,-71.15035666666667,63.3,322753.9507165592,4685579.549662564,19,T,1.7,
1712110541.283219,435,1712110541,0,GPS1_Frame,42.30237166666667,-71.15043666666666,63.5,322747.5761422615,4685588.4146243725,19,T,1.7,
1712110542.279935,436,1712110542,0,GPS1_Frame,42.30245166666667,-71.150515,63.6,322741.3436451276,4685597.461190754,19,T,1.7,
1712110543.280895,437,1712110543,0,GPS1_Frame,42.30252833333334,-71.15059,63.7,322735.3765753212,4685606.130677957,19,T,1.7,
1712110544.2804105,438,1712110544,0,GPS1_Frame,42.30260666666666,-71.15066666666667,63.7,322729.27681584435,4685614.988713576,19,T,1.7,
1712110545.2801316,439,1712110545,0,GPS1_Frame,42.302683333333334,-71.15074166666666,64.0,322723.309777002,4685623.658212172,19,T,1.7,
1712110546.2796564,440,1712110546,0,GPS1_Frame,42.302760000000006,-71.15081666666667,63.6,322717.34275347355,4685632.327716401,19,T,1.7,
1712110547.280687,441,1712110547,0,GPS1_Frame,42.30283166666666,-71.15088333333333,63.4,322712.0486217185,4685640.424651226,19,T,1.7,
1712110548.2803733,442,1712110548,0,GPS1_Frame,42.30288833333334,-71.15093333333333,63.5,322708.0862183906,4685646.821228429,19,T,1.7,
1712110549.279512,443,1712110549,0,GPS1_Frame,42.30294000000001,-71.150975,63.3,322704.796697281,4685652.645232354,19,T,6.4,
1712110550.2795832,444,1712110550,0,GPS1_Frame,42.30297,-71.15099000000001,63.5,322703.644471972,4685656.007755573,19,T,1.7,
1712110551.2793314,445,1712110551,0,GPS1_Frame,42.30298166666667,-71.150985,63.7,322704.0893671924,4685657.292829371,19,T,1.7,
1712110552.2795844,446,1712110552,0,GPS1_Frame,42.30298666666666,-71.15097833333333,63.9,322704.6529302949,4685657.834148751,19,T,1.7,
1712110553.2809145,447,1712110553,0,GPS1_Frame,42.30299333333334,-71.150975,64.3,322704.94640796684,4685658.567484401,19,T,1.7,
1712110554.2803845,448,1712110554,0,GPS1_Frame,42.303005,-71.15097333333333,64.7,322705.1165390728,4685659.859504116,19,T,1.7,
1712110555.2794805,449,1712110555,0,GPS1_Frame,42.30302833333334,-71.15097,64.9,322705.45680115663,4685662.443543562,19,T,1.7,
1712110556.2796342,450,1712110556,0,GPS1_Frame,42.303065,-71.15096333333332,65.1,322706.10925414774,4685666.501200234,19,T,1.7,
1712110557.2805383,451,1712110557,0,GPS1_Frame,42.30312666666667,-71.15095833333334,64.9,322706.6945014441,4685673.3383855745,19,T,1.7,
1712110558.2803388,452,1712110558,0,GPS1_Frame,42.30319166666666,-71.15094666666667,64.8,322707.8386308761,4685680.531820205,19,T,1.7,
1712110559.278715,453,1712110559,0,GPS1_Frame,42.30325666666666,-71.15094333333333,64.9,322708.295851928,4685687.742619391,19,T,6.4,
1712110560.2814717,454,1712110560,0,GPS1_Frame,42.303335,-71.15096166666667,65.1,322707.0045449501,4685696.479129338,19,T,1.7,
1712110561.2798312,455,1712110561,0,GPS1_Frame,42.303414999999994,-71.15100333333334,64.9,322703.7945868314,4685705.449331543,19,T,1.7,
